word,symbol_id,symbol_en,asset_name,category
lizard,1849,lizard,lizard,Animal Reptiles and Amphibians
log,1851,log,log,Plants and Trees
long,1853,long,long,Descriptive Quantity
lost,1859,lost,lost,People Descriptive
loud,1862,loud,loud,Descriptive State
lowest,1864,lowest,lowest,Descriptive Position
lucky,1865,lucky,lucky,Descriptive State
lump,1866,lump,lump,Healthcare Medical conditions
manger,1887,manger,manger,Religion General
marmite,1891,marmite,marmite,Food Ingredients
mars,1894,Mars,mars,Science Astronomy
mary,1896,Mary,mary,Religion Person
maths,1905,maths,maths,Work and School Subjects
meat,1914,meat,meat,Food Meat
medal,1916,medal,medal,Sport Accessories
mend,1923,mend,mend,Descriptive State
menu,1925,menu,menu,Food Meals and snacks
mexico,1276,flag_Mexico,mexico,Country Flags
middle,1934,middle,middle,Descriptive Position
milk,1935,milk,milk,Drink Type
mints,1951,mints,mints,Food Sweets and desserts
minute,1952,minute,minute,Descriptive Time
money,1972,money,money,Money
moon,1974,Moon,moon,Science Astronomy
mop,1975,mop,mop,Building Contents
more,1977,more,more,Descriptive Quantity
morning,1978,morning,morning,Descriptive Time
morocco,1283,flag_Morocco,morocco,Country Flags
most,1979,most,most,Descriptive Quantity
moth,1980,moth,moth,Animal Spiders and Insects
music,1996,music,music,Work and School Subjects
nail,2008,nail,nail,Tools Workshop
nappy,2014,nappy,nappy,Healthcare Grooming items
nativity,2015,Nativity,nativity,Religion Festival
near,2016,near,near,Descriptive Position
neither,2021,neither,neither,Descriptive Quantity
nest,2023,nest,nest,Animal Habitat
newspaper,2027,newspaper,newspaper,Work and School Education
next,2032,next,next,Descriptive Position
nigeria,1294,flag_Nigeria,nigeria,Country Flags
night,2035,night,night,Descriptive Time
noisy,2043,noisy,noisy,Descriptive State
noodles,2046,noodles,noodles,Food Pastas and rice
north,2047,north,north,Descriptive Direction
now,2054,now,now,Descriptive Time
nuts,2059,nuts,nuts,Food Nuts
octagon,2067,octagon,octagon,Descriptive Shape
off,2068,off,off,Descriptive Position
omelette,2080,omelette,omelette,Food Eggs
on,2081,on,on,Descriptive Position
one,2082,one,one,Number
open,2089,open,open,Descriptive State
opposite,2095,opposite,opposite,Descriptive Position
out,2102,out,out,Descriptive Direction
outside,2104,outside,outside,Descriptive Position
oval,2105,oval,oval,Descriptive Shape
over,2106,over,over,Descriptive Position
owl,2107,owl,owl,Animal Birds
pakistan,1302,flag_Pakistan,pakistan,Country Flags
paper,2129,paper,paper,Work and School Stationery
parachute,2134,parachute,parachute,Transport Air
parallelogram,2137,parallelogram,parallelogram,Descriptive Shape
part,2145,part,part,Descriptive Quantity
past,2152,past,past,Descriptive Time
pasta,2153,pasta,pasta,Food Pastas and rice
pate,2159,pate,pate,Food Meals and snacks
paw,2160,paw,paw,Animal Features
pe,2162,PE,pe,Work and School Subjects
pea,2164,pea,pea,Food Vegetables and salads
pear,2170,pear,pear,Food Fruit
peas,2171,peas,peas,Food Vegetables and salads
pecan,2172,pecan,pecan,Food Nuts
pen,2176,pen,pen,Work and School Stationery
pentagon,2188,pentagon,pentagon,Descriptive Shape
perm,2193,"perm_,_to",perm,Healthcare Grooming activities
permeable,2194,permeable,permeable,Science Eco
photocopier,2206,photocopier,photocopier,Building Equipment and devices
piano,2212,piano,piano,Music Instrument
pie,2217,pie,pie,Food Breads and baking
pink,2231,pink,pink,Art Colour
pint,2234,pint,pint,Drink Containers and measures
point,2270,"point_,_to",point,Descriptive Direction
pointed,2271,pointed,pointed,Descriptive Shape
poland,1311,flag_Poland,poland,Country Flags
pond,2279,pond,pond,Building Garden and farm
portugal,1312,flag_Portugal,portugal,Country Flags
pot,2298,pot,pot,Tools Garden
poultry,2304,poultry,poultry,Food Poultry
prawn,2309,prawn,prawn,Animal Crustacean and Molluscs
pray,2310,"pray_,_to",pray,Religion General
printer,2318,printer,printer,Electrical Computer
protein,2321,protein,protein,Food Diet
purse,2334,purse,purse,Clothes Accessories
quadrilateral,2344,quadrilateral,quadrilateral,Descriptive Shape
quarter,2346,quarter,quarter,Descriptive Quantity
rain,2355,rain,rain,Environment Weather
rainbow,2356,rainbow,rainbow,Environment Weather
rake,2360,rake,rake,Tools Garden
ramp,2362,ramp,ramp,Healthcare Medical items
ravioli,2366,ravioli,ravioli,Food Pastas and rice
rectangle,2375,rectangle,rectangle,Descriptive Shape
red,2379,red,red,Art Colour
retire,2389,"retire_,_to",retire,People Actions
rhombus,2392,rhombus,rhombus,Descriptive Shape
rice,2395,rice,rice,Food Pastas and rice
rifle,2400,rifle,rifle,Military
right,2401,right,right,Descriptive Direction
ring,2404,ring,ring,Clothes Jewellery
risen,2406,risen,risen,Religion Festival
road,2407,road,road,Holiday and travel
rocket,2410,rocket,rocket,Transport Space
room,2419,room,room,Building Public
rosette,2422,rosette,rosette,Sport Accessories
rug,2426,rug,rug,Building Contents
